add_rounded plus
adjust_rounded circleDot
admin_panel_settings_rounded shieldUser
alternate_email_rounded atSign
apartment_rounded building2
arrow_back_rounded arrowLeft
arrow_forward_rounded arrowRight
assignment_ind_rounded userCheck
attach_file_rounded paperclip
auto_awesome_rounded sparkles
badge_rounded idCard
block_rounded ban
bolt_outlined zap
bolt_rounded zap
bookmark_border_rounded bookmark
brightness_6_rounded sunMoon
brightness_auto_rounded monitorCog
brush_outlined paintbrush
bug_report_outlined bug
business_rounded building2
calendar_today_rounded calendar
category_rounded shapes
check_circle_outline_rounded circleCheck
check_circle_rounded circleCheckBig
check_rounded check
chevron_left_rounded chevronLeft
chevron_right_rounded chevronRight
circle_outlined circle
close_rounded x
cloud_off_rounded cloudOff
cloud_upload_outlined cloudUpload
code_rounded code
create_new_folder_outlined folderPlus
dark_mode_rounded moon
dashboard_rounded layoutDashboard
data_object_rounded braces
delete_outline_rounded trash2
description_outlined fileText
description_rounded fileText
dns_rounded server
download_rounded download
drag_handle_rounded gripHorizontal
edit_note_rounded penLine
edit_rounded pencil
event_rounded calendarDays
expand_more_rounded chevronDown
flag_rounded flag
folder_open_rounded folderOpen
folder_outlined folder
folder_rounded folder
folder_special_rounded folderHeart
folder_zip_outlined folderArchive
format_bold_rounded bold
format_italic_rounded italic
format_list_bulleted_rounded list
gpp_bad_rounded shieldX
grid_view_rounded layoutGrid
group_rounded users
groups_rounded usersRound
hexagon_outlined hexagon
history_rounded history
home_rounded house
hourglass_top_rounded hourglass
image_outlined image
inbox_rounded inbox
info_outline_rounded info
insert_drive_file_outlined file
insights_rounded chartLine
keyboard_arrow_down_rounded chevronDown
keyboard_arrow_up_rounded chevronUp
keyboard_command_key_rounded command
keyboard_double_arrow_up_rounded chevronsUp
language_rounded globe
layers_rounded layers
light_mode_rounded sun
link_rounded link
list_alt_rounded listChecks
list_rounded list
local_fire_department_outlined flame
lock_outline_rounded lock
lock_rounded lock
mail_rounded mail
manage_accounts_rounded userCog
menu_book_rounded bookOpen
mode_comment_outlined messageSquare
more_vert_rounded ellipsisVertical
move_to_inbox_rounded inbox
movie_outlined film
my_location_rounded locateFixed
north_west_rounded arrowUpLeft
notifications_active_rounded bellRing
notifications_none_rounded bell
notifications_rounded bell
open_in_new_rounded externalLink
palette_rounded palette
password_rounded keyRound
people_outline_rounded users
people_rounded users
person_add_alt_1_rounded userPlus
person_add_rounded userPlus
person_off_rounded userX
person_outline_rounded user
person_remove_alt_1_rounded userMinus
person_rounded user
picture_as_pdf_outlined fileText
play_arrow_rounded play
privacy_tip_rounded shieldAlert
public_rounded globe
radio_button_checked_rounded circleDot
radio_button_unchecked_rounded circle
rate_review_rounded messageSquareText
refresh_rounded refreshCw
rocket_launch_rounded rocket
save_rounded save
schedule_rounded clock
search_off_rounded searchX
search_rounded search
sell_outlined tag
sell_rounded tag
send_rounded send
settings_rounded settings
shield_outlined shield
shield_rounded shield
show_chart_rounded chartLine
smartphone_rounded smartphone
speed_rounded gauge
stacked_bar_chart_rounded chartColumnStacked
star_rounded star
style_rounded swatchBook
subject_rounded alignLeft
system_update_rounded cloudDownload
table_chart_outlined table
table_chart_rounded table
task_alt_rounded circleCheckBig
timelapse_rounded timer
timeline_rounded waypoints
timer_rounded timer
title_rounded heading
toggle_off_rounded toggleLeft
toggle_on_rounded toggleRight
tune_rounded slidersHorizontal
unfold_more_rounded chevronsUpDown
verified_user_outlined shieldCheck
verified_user_rounded shieldCheck
view_column_rounded columns3
view_kanban_outlined squareKanban
view_kanban_rounded squareKanban
link_off_rounded unlink
